sample	Lineage1
Pdgfra1_A23	122.3210845375455
Pdgfra1_A6	124.60178682778799
Pdgfra1_B13	138.72259015697253
Pdgfra1_B15	137.48738480350343
Pdgfra1_B17	123.80311314023754
Pdgfra1_B3	114.71497407304342
Pdgfra1_B4	114.71497407304342
Pdgfra1_B7	123.92678958863692
Pdgfra1_B9	132.63928530137687
Pdgfra1_C21	117.20335332969623
Pdgfra1_C23	88.55784782764307
Pdgfra1_C3	98.41341667189653
Pdgfra1_C7	98.92642508184979
Pdgfra1_D13	94.524983977015
Pdgfra1_D17	92.6945809271106
Pdgfra1_D18	129.71332174398225
Pdgfra1_D22	118.65901859019539
Pdgfra1_E12	86.06691796054565
Pdgfra1_E24	89.44768370918017
Pdgfra1_F23	137.48738480350343
Pdgfra2_A1	140.29390162349426
Pdgfra2_A17	140.41025067659473
Pdgfra2_C14	58.07585834260378
Pdgfra2_C23	0
Pdgfra2_G20	75.31358076308216
Pdgfra2_G24	0
Pdgfra2_I15	60.3236553051682
Pdgfra2_J11	0
Pdgfra2_J3	59.20598297119751
Pdgfra2_K12	77.55198377425624
Pdgfra2_K16	83.9333485639575
Pdgfra2_L22	0
Pdgfra2_M11	63.39742668770731
Pdgfra2_O10	65.80928216147957
Pdgfra2_O18	12.048216260644997
Pdgfra2_O20	13.99813951406836
Pdgfra2_O23	0
Pdgfra1_A12	194.11347735485973
Pdgfra1_A2	214.16450110249073
Pdgfra1_A22	162.14001945007405
Pdgfra1_A24	186.41201170159664
Pdgfra1_A3	160.26667346253686
Pdgfra1_A4	214.04346426116814
Pdgfra1_A7	226.14800073691464
Pdgfra1_B14	167.24239828587176
Pdgfra1_B18	213.38321612110013
Pdgfra1_B19	225.42118757787097
Pdgfra1_B23	217.0608287074651
Pdgfra1_B24	205.60246208363478
Pdgfra1_B5	221.24429233227394
Pdgfra1_B8	160.26667346253686
Pdgfra1_C1	222.15293845308236
Pdgfra1_C11	162.14001945007405
Pdgfra1_C12	195.3602041778542
Pdgfra1_C13	208.62576612255214
Pdgfra1_C15	211.1282592403933
Pdgfra1_C16	160.26667346253686
Pdgfra1_C20	160.1656448040081
Pdgfra1_C5	225.3458309782012
Pdgfra1_D11	210.7874018672432
Pdgfra1_D12	217.4195216222629
Pdgfra1_D15	187.51238860744968
Pdgfra1_D20	202.39934791567032
Pdgfra1_D5	149.30855935346392
Pdgfra1_D6	230.57167516816452
Pdgfra1_D7	191.34009560546238
Pdgfra1_D8	207.16904877344172
Pdgfra1_E10	215.05627419158557
Pdgfra1_E11	198.1097703521748
Pdgfra1_E16	161.27605683002474
Pdgfra1_E21	218.66176457076602
Pdgfra1_E22	132.5573809515939
Pdgfra1_E3	207.0115619938466
Pdgfra1_F18	214.99176856080905
Pdgfra1_F21	188.12906173386895
Pdgfra2_A2	26.314612216981036
Pdgfra2_C19	24.21663860652714
Pdgfra2_G22	175.1744405682629
Pdgfra2_G3	30.97029940692465
Pdgfra2_H16	26.314612216981036
Pdgfra2_H19	18.29902629540748
Pdgfra2_I24	31.730500765175364
Pdgfra2_M2	28.288543785373605
Pdgfra2_M6	173.8808378873878
Pdgfra2_N12	26.314612216981036
Pdgfra2_P4	164.47036267033383
